DATE;AMOUNT;COUNT
03/07/2015;15552;76
04/07/2015;16808;84
05/07/2015;20768;117
06/07/2015;17688;90
07/07/2015;12896;65
08/07/2015;9912;54
09/07/2015;12992;67
10/07/2015;9456;55
11/07/2015;13760;77
12/07/2015;12840;79
13/07/2015;16720;97
14/07/2015;14816;71
15/07/2015;15256;75
16/07/2015;23720;113
17/07/2015;7224;40
18/07/2015;7144;38
19/07/2015;8456;44
20/07/2015;13456;61
21/07/2015;12744;63
22/07/2015;13536;67
23/07/2015;11944;64
24/07/2015;12216;63
25/07/2015;12152;68
26/07/2015;9576;57
27/07/2015;13744;68
28/07/2015;5392;25
29/07/2015;14176;72
30/07/2015;14424;77
31/07/2015;16824;81
01/08/2015;12832;59
02/08/2015;0;0
03/08/2015;16032;86
04/08/2015;18920;94
05/08/2015;10936;54
06/08/2015;14224;74
07/08/2015;10296;44
08/08/2015;16736;83
09/08/2015;15632;91
10/08/2015;13680;77
11/08/2015;7736;41
12/08/2015;19416;85
13/08/2015;17592;90
14/08/2015;13376;74
15/08/2015;12608;70
16/08/2015;11696;64
17/08/2015;13848;71
18/08/2015;14552;75
19/08/2015;17088;87
20/08/2015;11472;59
21/08/2015;12864;61
22/08/2015;13552;77
23/08/2015;8488;57
24/08/2015;15368;73
25/08/2015;17576;89
26/08/2015;11408;71
27/08/2015;11680;67
28/08/2015;6056;31
29/08/2015;0;0
30/08/2015;0;0
31/08/2015;21472;111
01/09/2015;0;0
02/09/2015;0;0
03/09/2015;3248;19
04/09/2015;2216;14
05/09/2015;0;0
06/09/2015;0;0
07/09/2015;11784;57
08/09/2015;5488;26
09/09/2015;2336;12
10/09/2015;3032;17
11/09/2015;2040;7
12/09/2015;0;0
13/09/2015;0;0
14/09/2015;2464;13
15/09/2015;0;0
16/09/2015;424;2
17/09/2015;3320;17
18/09/2015;5888;26
19/09/2015;13216;65
20/09/2015;8200;49
21/09/2015;1888;10
22/09/2015;7968;41
23/09/2015;7560;36
24/09/2015;640;5
25/09/2015;856;7
26/09/2015;3296;18
