date;a_withdr
26/03/2016;1050
27/03/2016;170
28/03/2016;870
29/03/2016;880
30/03/2016;640
31/03/2016;700
01/04/2016;0
02/04/2016;0
03/04/2016;0
04/04/2016;0
05/04/2016;0
06/04/2016;0
07/04/2016;0
08/04/2016;0
09/04/2016;0
10/04/2016;0
11/04/2016;0
12/04/2016;300
13/04/2016;1100
14/04/2016;630
15/04/2016;700
16/04/2016;710
17/04/2016;980
18/04/2016;910
19/04/2016;650
20/04/2016;1280
21/04/2016;910
22/04/2016;980
23/04/2016;750
24/04/2016;670
25/04/2016;1110
26/04/2016;820
27/04/2016;700
28/04/2016;360
29/04/2016;200
30/04/2016;1470
01/05/2016;1280
02/05/2016;1560
03/05/2016;700
04/05/2016;960
05/05/2016;420
06/05/2016;1320
07/05/2016;3390
08/05/2016;1220
09/05/2016;1590
10/05/2016;1430
11/05/2016;960
12/05/2016;3270
13/05/2016;1170
14/05/2016;2240
15/05/2016;1480
16/05/2016;1050
17/05/2016;1520
18/05/2016;990
19/05/2016;970
20/05/2016;740
21/05/2016;1220
22/05/2016;1050
23/05/2016;860
24/05/2016;2140
25/05/2016;660
26/05/2016;1340
27/05/2016;890
28/05/2016;2080
29/05/2016;1240
30/05/2016;1490
31/05/2016;2960
01/06/2016;1960
02/06/2016;2200
03/06/2016;2320
04/06/2016;1640
05/06/2016;1870
06/06/2016;560
07/06/2016;450
08/06/2016;780
09/06/2016;2170
10/06/2016;700
11/06/2016;2010
12/06/2016;1970
13/06/2016;1670
14/06/2016;1030
15/06/2016;1190
16/06/2016;690
17/06/2016;700
18/06/2016;1030
19/06/2016;220
20/06/2016;1390
21/06/2016;1220
22/06/2016;930
23/06/2016;680
24/06/2016;2500
25/06/2016;550
26/06/2016;1170
27/06/2016;1400
28/06/2016;1290
29/06/2016;950
30/06/2016;2510
01/07/2016;4460
02/07/2016;3780
03/07/2016;2830
04/07/2016;3360
05/07/2016;2120
06/07/2016;1730
07/07/2016;2230
08/07/2016;2970
09/07/2016;8120
10/07/2016;3310
11/07/2016;3100
12/07/2016;2560
13/07/2016;2700
14/07/2016;1410
15/07/2016;2260
16/07/2016;4180
17/07/2016;3210
18/07/2016;4410
19/07/2016;3980
20/07/2016;1550
21/07/2016;3690
22/07/2016;2100
23/07/2016;4790
24/07/2016;4030
25/07/2016;2770
26/07/2016;3430
27/07/2016;6490
28/07/2016;2440
29/07/2016;4180
30/07/2016;7990
31/07/2016;5010
01/08/2016;5530
02/08/2016;7630
03/08/2016;6770
04/08/2016;4590
05/08/2016;5600
06/08/2016;4040
07/08/2016;6150
08/08/2016;3320
09/08/2016;330
10/08/2016;2690
11/08/2016;710
12/08/2016;2030
13/08/2016;2530
14/08/2016;4280
15/08/2016;3240
16/08/2016;1990
17/08/2016;2510
18/08/2016;2030
19/08/2016;4790
20/08/2016;3380
21/08/2016;5060
22/08/2016;3200
23/08/2016;1680
24/08/2016;2680
25/08/2016;1740
26/08/2016;3220
27/08/2016;3790
28/08/2016;4820
29/08/2016;4330
30/08/2016;2730
31/08/2016;2400
01/09/2016;2410
02/09/2016;3660
03/09/2016;3930
04/09/2016;4790
05/09/2016;3600
06/09/2016;2690
07/09/2016;2090
08/09/2016;3620
09/09/2016;2960
10/09/2016;2330
11/09/2016;2550
12/09/2016;1190
13/09/2016;920
14/09/2016;1070
15/09/2016;1920
16/09/2016;2400
17/09/2016;1690
18/09/2016;2000
19/09/2016;1190
20/09/2016;1360
21/09/2016;1210
22/09/2016;1510
23/09/2016;1730
24/09/2016;800
25/09/2016;790
26/09/2016;790
27/09/2016;600
28/09/2016;2290
29/09/2016;990
30/09/2016;1840
01/10/2016;1820
02/10/2016;330
03/10/2016;1330
04/10/2016;1910
05/10/2016;1870
06/10/2016;1690
07/10/2016;650
08/10/2016;1250
09/10/2016;580
10/10/2016;280
11/10/2016;1150
12/10/2016;2010
13/10/2016;520
14/10/2016;950
15/10/2016;3300
16/10/2016;950
17/10/2016;1180
18/10/2016;650
19/10/2016;310
20/10/2016;550
21/10/2016;670
22/10/2016;1040
23/10/2016;490
24/10/2016;390
25/10/2016;890
26/10/2016;2400
27/10/2016;1040
28/10/2016;380
29/10/2016;1520
30/10/2016;1120
31/10/2016;630
01/11/2016;1610
02/11/2016;1410
03/11/2016;600
04/11/2016;530
05/11/2016;1260
06/11/2016;1720
07/11/2016;250
08/11/2016;1830
09/11/2016;550
10/11/2016;1070
11/11/2016;1230
12/11/2016;3200
13/11/2016;4710
14/11/2016;1990
15/11/2016;2440
16/11/2016;3360
17/11/2016;2640
18/11/2016;4090
19/11/2016;1590
20/11/2016;3100
21/11/2016;930
22/11/2016;1780
23/11/2016;1030
24/11/2016;2330
25/11/2016;2410
26/11/2016;1400
27/11/2016;2270
28/11/2016;1400
29/11/2016;600
30/11/2016;0
01/12/2016;1770
02/12/2016;970
03/12/2016;1790
04/12/2016;3080
05/12/2016;1650
06/12/2016;3590
07/12/2016;2620
08/12/2016;1730
09/12/2016;2290
10/12/2016;2230
11/12/2016;1760
12/12/2016;3860
13/12/2016;1380
14/12/2016;3130
15/12/2016;930
16/12/2016;1280
17/12/2016;250
18/12/2016;1780
19/12/2016;2560
20/12/2016;1730
21/12/2016;810
22/12/2016;1280
23/12/2016;440
24/12/2016;1310
25/12/2016;300
26/12/2016;380
27/12/2016;1150
28/12/2016;1500
29/12/2016;790
30/12/2016;1480
31/12/2016;1420
01/01/2017;350
02/01/2017;1440
03/01/2017;650
04/01/2017;2280
05/01/2017;1350
06/01/2017;840
07/01/2017;520
08/01/2017;590
09/01/2017;2440
10/01/2017;300
11/01/2017;390
12/01/2017;600
13/01/2017;480
14/01/2017;990
15/01/2017;130
16/01/2017;290
17/01/2017;80
18/01/2017;950
19/01/2017;1280
20/01/2017;540
21/01/2017;1740
22/01/2017;250
23/01/2017;1210
24/01/2017;250
25/01/2017;640
26/01/2017;200
27/01/2017;650
28/01/2017;760
29/01/2017;730
30/01/2017;1680
31/01/2017;1180
01/02/2017;1810
02/02/2017;880
03/02/2017;1030
04/02/2017;930
05/02/2017;630
06/02/2017;750
07/02/2017;420
08/02/2017;690
09/02/2017;200
10/02/2017;1170
11/02/2017;1300
12/02/2017;380
13/02/2017;600
14/02/2017;520
15/02/2017;800
16/02/2017;570
17/02/2017;930
18/02/2017;800
19/02/2017;1360
20/02/2017;1300
21/02/2017;870
22/02/2017;2270
23/02/2017;1570
24/02/2017;1490
25/02/2017;1870
26/02/2017;690
27/02/2017;1210
28/02/2017;790
01/03/2017;800
02/03/2017;1840
03/03/2017;1730
04/03/2017;1820
05/03/2017;900
06/03/2017;1290
07/03/2017;540
08/03/2017;680
09/03/2017;600
10/03/2017;450
11/03/2017;1580
12/03/2017;920
13/03/2017;390
14/03/2017;370
15/03/2017;2120
16/03/2017;1300
17/03/2017;1110
18/03/2017;1750
19/03/2017;920
20/03/2017;1070
21/03/2017;1620
22/03/2017;450
23/03/2017;1420
24/03/2017;1100
25/03/2017;710
26/03/2017;830
27/03/2017;700
28/03/2017;70
29/03/2017;520
30/03/2017;1130
31/03/2017;1370
01/04/2017;2720
02/04/2017;870
03/04/2017;3570
04/04/2017;1790
05/04/2017;870
06/04/2017;1140
07/04/2017;2870
08/04/2017;3510
09/04/2017;560
10/04/2017;1020
11/04/2017;1000
12/04/2017;780
13/04/2017;1220
14/04/2017;1460
15/04/2017;2810
16/04/2017;1400
17/04/2017;1370
18/04/2017;2430
19/04/2017;1220
20/04/2017;2820
21/04/2017;1990
22/04/2017;1750
23/04/2017;3150
24/04/2017;1850
25/04/2017;1650
26/04/2017;500
27/04/2017;1700
28/04/2017;2630
29/04/2017;2310
30/04/2017;2180
01/05/2017;1090
02/05/2017;1360
03/05/2017;2190
04/05/2017;1630
05/05/2017;320
06/05/2017;2770
07/05/2017;3020
08/05/2017;920
09/05/2017;3050
10/05/2017;1320
11/05/2017;1800
12/05/2017;1600
13/05/2017;1970
14/05/2017;2020
15/05/2017;1020
16/05/2017;1940
17/05/2017;1310
18/05/2017;1650
19/05/2017;1820
20/05/2017;1140
21/05/2017;1460
22/05/2017;1550
23/05/2017;670
24/05/2017;490
25/05/2017;1640
26/05/2017;1050
27/05/2017;710
28/05/2017;1000
29/05/2017;950
30/05/2017;1770
31/05/2017;520
01/06/2017;950
02/06/2017;760
03/06/2017;650
04/06/2017;560
05/06/2017;1180
06/06/2017;1910
07/06/2017;1530
08/06/2017;1570
09/06/2017;2070
10/06/2017;970
11/06/2017;1030
12/06/2017;1280
13/06/2017;620
14/06/2017;750
15/06/2017;2000
16/06/2017;1900
17/06/2017;2300
18/06/2017;1470
19/06/2017;1550
20/06/2017;1860
21/06/2017;2600
22/06/2017;970
23/06/2017;1260
24/06/2017;2460
25/06/2017;730
26/06/2017;4780
27/06/2017;4720
28/06/2017;1890
29/06/2017;1700
30/06/2017;1660
01/07/2017;4000
02/07/2017;4470
03/07/2017;4270
04/07/2017;7570
05/07/2017;3700
06/07/2017;5440
07/07/2017;4920
08/07/2017;3330
09/07/2017;5060
10/07/2017;2840
11/07/2017;2650
12/07/2017;1710
13/07/2017;4190
14/07/2017;2510
15/07/2017;5070
16/07/2017;3700
17/07/2017;3670
18/07/2017;3300
19/07/2017;4770
20/07/2017;2710
21/07/2017;4950
22/07/2017;4280
23/07/2017;2820
24/07/2017;4570
25/07/2017;4240
26/07/2017;2860
27/07/2017;2280
28/07/2017;4250
29/07/2017;4400
30/07/2017;3370
31/07/2017;3960
01/08/2017;7840
02/08/2017;8140
03/08/2017;6060
04/08/2017;3080
05/08/2017;3090
06/08/2017;4870
07/08/2017;4580
08/08/2017;3720
09/08/2017;3510
10/08/2017;5470
11/08/2017;4950
12/08/2017;5870
13/08/2017;8100
14/08/2017;6920
15/08/2017;5300
16/08/2017;3960
17/08/2017;5440
18/08/2017;3950
19/08/2017;6380
20/08/2017;6920
21/08/2017;3740
22/08/2017;3640
23/08/2017;4680
24/08/2017;4400
25/08/2017;4440
26/08/2017;5240
27/08/2017;3810
28/08/2017;6070
29/08/2017;2990
30/08/2017;6820
31/08/2017;3940
01/09/2017;3700
02/09/2017;3180
03/09/2017;1270
04/09/2017;5730
05/09/2017;1870
06/09/2017;3750
07/09/2017;2360
08/09/2017;2250
09/09/2017;1220
10/09/2017;2820
11/09/2017;3200
12/09/2017;1710
13/09/2017;1860
14/09/2017;1420
15/09/2017;2620
16/09/2017;2910
17/09/2017;2970
18/09/2017;1950
19/09/2017;2180
20/09/2017;880
21/09/2017;2960
22/09/2017;1320
23/09/2017;2450
24/09/2017;1250
25/09/2017;1410
26/09/2017;1690
27/09/2017;2450
28/09/2017;1560
29/09/2017;4650
30/09/2017;1200
01/10/2017;1990
02/10/2017;700
03/10/2017;1760
04/10/2017;2450
05/10/2017;2000
06/10/2017;1780
07/10/2017;4600
08/10/2017;3560
09/10/2017;710
10/10/2017;1540
11/10/2017;1820
12/10/2017;2220
13/10/2017;1330
14/10/2017;2730
15/10/2017;1910
16/10/2017;3200
17/10/2017;3070
18/10/2017;1610
19/10/2017;1370
20/10/2017;1300
21/10/2017;1790
22/10/2017;2670
23/10/2017;1970
24/10/2017;610
25/10/2017;1390
26/10/2017;1110
27/10/2017;350
28/10/2017;550
29/10/2017;830
30/10/2017;1200
31/10/2017;1270
01/11/2017;700
02/11/2017;2650
03/11/2017;870
04/11/2017;1430
05/11/2017;2470
06/11/2017;2170
07/11/2017;2330
08/11/2017;1450
09/11/2017;600
10/11/2017;860
11/11/2017;2320
12/11/2017;1520
13/11/2017;710
14/11/2017;1520
15/11/2017;1210
16/11/2017;500
17/11/2017;1680
18/11/2017;2650
19/11/2017;540
20/11/2017;1050
21/11/2017;650
22/11/2017;1300
23/11/2017;710
24/11/2017;300
25/11/2017;2000
26/11/2017;550
27/11/2017;1470
28/11/2017;430
29/11/2017;820
30/11/2017;830
01/12/2017;1510
02/12/2017;1970
03/12/2017;1730
04/12/2017;1760
05/12/2017;200
06/12/2017;190
07/12/2017;680
08/12/2017;380
09/12/2017;2540
10/12/2017;1450
11/12/2017;260
12/12/2017;580
13/12/2017;240
14/12/2017;1090
15/12/2017;1280
16/12/2017;1170
17/12/2017;2360
